,id,time,hash,diff
0,\Adele - Rolling in the Deep,0.0,0.0,0.0
1,\Adele - Rolling in the Deep,0.023219954648526,0.0,0.0
2,\Adele - Rolling in the Deep,0.0464399092970521,0.0,0.0
3,\Adele - Rolling in the Deep,0.0696598639455782,0.0,0.0
4,\Adele - Rolling in the Deep,0.0928798185941043,0.0,0.0
5,\Adele - Rolling in the Deep,0.1160997732426303,13009607440.0,0.0
6,\Adele - Rolling in the Deep,0.1393197278911564,14809805440.0,0.0
7,\Adele - Rolling in the Deep,0.1625396825396825,14809804240.0,0.0
8,\Adele - Rolling in the Deep,0.1857596371882086,12208204040.0,0.0
9,\Adele - Rolling in the Deep,0.2089795918367347,13011406640.0,0.0
10,\Adele - Rolling in the Deep,0.2321995464852607,15009604240.0,0.0
11,\Adele - Rolling in the Deep,0.2554195011337868,14809604240.0,0.0
12,\Adele - Rolling in the Deep,0.2786394557823129,12008205440.0,0.0
13,\Adele - Rolling in the Deep,0.301859410430839,12808204240.0,0.0
14,\Adele - Rolling in the Deep,0.3250793650793651,12609604240.0,0.0
15,\Adele - Rolling in the Deep,0.3482993197278912,12008204240.0,0.0
16,\Adele - Rolling in the Deep,0.3715192743764172,13609204240.0,0.0
17,\Adele - Rolling in the Deep,0.3947392290249433,12809604040.0,0.0
18,\Adele - Rolling in the Deep,0.4179591836734694,13409404840.0,0.0
19,\Adele - Rolling in the Deep,0.4411791383219954,14411804240.0,0.0
20,\Adele - Rolling in the Deep,0.4643990929705215,17410804240.0,0.0
21,\Adele - Rolling in the Deep,0.4876190476190476,15009606440.0,0.0
22,\Adele - Rolling in the Deep,0.5108390022675737,14809807440.0,0.0
23,\Adele - Rolling in the Deep,0.5340589569160998,14411804840.0,0.0
24,\Adele - Rolling in the Deep,0.5572789115646258,12011806040.0,1.5092970521541953
25,\Adele - Rolling in the Deep,0.5804988662131519,15008204240.0,0.0
26,\Adele - Rolling in the Deep,0.603718820861678,12808604240.0,0.0
27,\Adele - Rolling in the Deep,0.626938775510204,14009804240.0,0.0
28,\Adele - Rolling in the Deep,0.6501587301587302,15611204840.0,0.0
29,\Adele - Rolling in the Deep,0.6733786848072563,13408004240.0,0.0
30,\Adele - Rolling in the Deep,0.6965986394557824,12409804640.0,0.0
31,\Adele - Rolling in the Deep,0.7198185941043084,12608204440.0,0.0
32,\Adele - Rolling in the Deep,0.7430385487528345,17610604240.0,0.0
33,\Adele - Rolling in the Deep,0.7662585034013606,14610204640.0,0.0
34,\Adele - Rolling in the Deep,0.7894784580498866,13010204240.0,0.0
35,\Adele - Rolling in the Deep,0.8126984126984127,14612004040.0,0.0
36,\Adele - Rolling in the Deep,0.8359183673469388,12212006040.0,0.7430385487528344
37,\Adele - Rolling in the Deep,0.8591383219954649,12408004240.0,0.0
38,\Adele - Rolling in the Deep,0.8823582766439909,12408804240.0,0.0
39,\Adele - Rolling in the Deep,0.905578231292517,12008804240.0,12.770975056689341
40,\Adele - Rolling in the Deep,0.9287981859410432,12808204240.0,0.0
41,\Adele - Rolling in the Deep,0.9520181405895692,12608204040.0,0.0
42,\Adele - Rolling in the Deep,0.9752380952380952,15611404240.0,0.0
43,\Adele - Rolling in the Deep,0.9984580498866212,12408205240.0,0.0
44,\Adele - Rolling in the Deep,1.0216780045351477,12809204240.0,0.0
45,\Adele - Rolling in the Deep,1.0448979591836736,12008204240.0,0.0
46,\Adele - Rolling in the Deep,1.0681179138321997,14610204240.0,0.0
47,\Adele - Rolling in the Deep,1.0913378684807256,14609804640.0,0.0
48,\Adele - Rolling in the Deep,1.1145578231292517,17811604040.0,0.0
49,\Adele - Rolling in the Deep,1.1377777777777778,12212004240.0,0.0
50,\Adele - Rolling in the Deep,1.160997732426304,12008004240.0,0.0
51,\Adele - Rolling in the Deep,1.18421768707483,12009204040.0,0.0
52,\Adele - Rolling in the Deep,1.207437641723356,12008004240.0,0.0
53,\Adele - Rolling in the Deep,1.2306575963718822,12208404440.0,0.0
54,\Adele - Rolling in the Deep,1.253877551020408,12208204040.0,0.0
55,\Adele - Rolling in the Deep,1.2770975056689342,15208204240.0,0.0
56,\Adele - Rolling in the Deep,1.3003174603174603,16609604840.0,0.0
57,\Adele - Rolling in the Deep,1.3235374149659864,15408004240.0,0.0
58,\Adele - Rolling in the Deep,1.3467573696145123,14609606040.0,0.0
59,\Adele - Rolling in the Deep,1.3699773242630386,17209804440.0,0.0
60,\Adele - Rolling in the Deep,1.3931972789115648,17809604040.0,0.0
61,\Adele - Rolling in the Deep,1.4164172335600906,15011805440.0,0.0
62,\Adele - Rolling in the Deep,1.4396371882086167,12008204840.0,0.0
63,\Adele - Rolling in the Deep,1.4628571428571429,12208004040.0,0.0
64,\Adele - Rolling in the Deep,1.486077097505669,12408604440.0,0.0
65,\Adele - Rolling in the Deep,1.509297052154195,12210404840.0,0.0
66,\Adele - Rolling in the Deep,1.5325170068027212,12608404240.0,0.0
67,\Adele - Rolling in the Deep,1.5557369614512473,12408404640.0,0.0
68,\Adele - Rolling in the Deep,1.5789569160997732,13008204240.0,0.0
69,\Adele - Rolling in the Deep,1.6021768707482993,12609604240.0,0.0
70,\Adele - Rolling in the Deep,1.6253968253968254,12411205440.0,0.0
71,\Adele - Rolling in the Deep,1.6486167800453515,14610204240.0,0.0
72,\Adele - Rolling in the Deep,1.6718367346938776,15210604240.0,0.0
73,\Adele - Rolling in the Deep,1.6950566893424035,12811606040.0,0.0
74,\Adele - Rolling in the Deep,1.7182766439909298,12008206040.0,0.0
75,\Adele - Rolling in the Deep,1.7414965986394555,12608004240.0,0.0
76,\Adele - Rolling in the Deep,1.7647165532879818,14408204040.0,0.0
77,\Adele - Rolling in the Deep,1.787936507936508,12208004040.0,0.0
78,\Adele - Rolling in the Deep,1.811156462585034,12808204240.0,0.0
79,\Adele - Rolling in the Deep,1.83437641723356,13008204040.0,0.0
80,\Adele - Rolling in the Deep,1.8575963718820865,15408004040.0,0.0
81,\Adele - Rolling in the Deep,1.8808163265306124,15411204240.0,0.0
82,\Adele - Rolling in the Deep,1.9040362811791385,13809006040.0,0.0
83,\Adele - Rolling in the Deep,1.9272562358276644,14608005240.0,0.0
84,\Adele - Rolling in the Deep,1.9504761904761905,15009806040.0,0.0
85,\Adele - Rolling in the Deep,1.9736961451247168,13011605440.0,0.0
86,\Adele - Rolling in the Deep,1.9969160997732427,12408204240.0,0.0
87,\Adele - Rolling in the Deep,2.020136054421769,13608204240.0,0.0
88,\Adele - Rolling in the Deep,2.043356009070295,12008004040.0,0.0
89,\Adele - Rolling in the Deep,2.066575963718821,15408804040.0,0.0
90,\Adele - Rolling in the Deep,2.089795918367347,12008204240.0,0.0
91,\Adele - Rolling in the Deep,2.113015873015873,12808204240.0,0.0
92,\Adele - Rolling in the Deep,2.1362358276644,12009004440.0,0.0
93,\Adele - Rolling in the Deep,2.159455782312925,12208605440.0,0.0
94,\Adele - Rolling in the Deep,2.182675736961451,17008404040.0,0.0
95,\Adele - Rolling in the Deep,2.205895691609977,16810204240.0,0.0
96,\Adele - Rolling in the Deep,2.229115646258504,15409605240.0,0.0
97,\Adele - Rolling in the Deep,2.252335600907029,15009605640.0,0.0
98,\Adele - Rolling in the Deep,2.275555555555556,17010405240.0,0.0
99,\Adele - Rolling in the Deep,2.2987755102040817,14208206040.0,0.0
100,\Adele - Rolling in the Deep,2.321995464852608,12608006040.0,0.0
101,\Adele - Rolling in the Deep,2.345215419501134,12808204040.0,0.0
102,\Adele - Rolling in the Deep,2.36843537414966,12208204240.0,0.0
103,\Adele - Rolling in the Deep,2.391655328798186,12408004040.0,0.0
104,\Adele - Rolling in the Deep,2.414875283446712,12808204240.0,0.0
105,\Adele - Rolling in the Deep,2.4380952380952383,12208405640.0,0.0
106,\Adele - Rolling in the Deep,2.4613151927437644,16808404240.0,0.0
107,\Adele - Rolling in the Deep,2.48453514739229,13008206040.0,0.0
108,\Adele - Rolling in the Deep,2.507755102040816,14609605240.0,0.0
109,\Adele - Rolling in the Deep,2.5309750566893423,15008004240.0,0.0
110,\Adele - Rolling in the Deep,2.5541950113378684,14611606040.0,0.0
111,\Adele - Rolling in the Deep,2.5774149659863945,17808005040.0,0.0
112,\Adele - Rolling in the Deep,2.6006349206349206,17008204240.0,0.0
113,\Adele - Rolling in the Deep,2.6238548752834467,17411004240.0,0.0
114,\Adele - Rolling in the Deep,2.647074829931973,17608004040.0,0.0
115,\Adele - Rolling in the Deep,2.670294784580499,13008004240.0,0.0
116,\Adele - Rolling in the Deep,2.693514739229025,12408204240.0,0.0
117,\Adele - Rolling in the Deep,2.716734693877551,12408404240.0,0.0
118,\Adele - Rolling in the Deep,2.7399546485260773,13208405440.0,0.0
119,\Adele - Rolling in the Deep,2.7631746031746034,15808204040.0,0.0
120,\Adele - Rolling in the Deep,2.786394557823129,15410605840.0,0.0
121,\Adele - Rolling in the Deep,2.809614512471655,14609604840.0,0.0
122,\Adele - Rolling in the Deep,2.8328344671201813,15010004640.0,0.0
123,\Adele - Rolling in the Deep,2.8560544217687074,12809805640.0,0.0
124,\Adele - Rolling in the Deep,2.879274376417233,12408004240.0,0.0
125,\Adele - Rolling in the Deep,2.90249433106576,12608204440.0,0.0
126,\Adele - Rolling in the Deep,2.9257142857142857,13008204240.0,0.0
127,\Adele - Rolling in the Deep,2.948934240362812,13210004640.0,0.0
128,\Adele - Rolling in the Deep,2.972154195011338,13608404240.0,0.0
129,\Adele - Rolling in the Deep,2.995374149659864,14208204240.0,0.0
