id,time,hash
\Adele - Rolling in the Deep,0.0,0.0
\Adele - Rolling in the Deep,0.023219954648526078,0.0
\Adele - Rolling in the Deep,0.046439909297052155,0.0
\Adele - Rolling in the Deep,0.06965986394557823,0.0
\Adele - Rolling in the Deep,0.09287981859410431,0.0
\Adele - Rolling in the Deep,0.11609977324263039,13009607440.0
\Adele - Rolling in the Deep,0.13931972789115646,14809805440.0
\Adele - Rolling in the Deep,0.16253968253968254,14809804240.0
\Adele - Rolling in the Deep,0.18575963718820862,12208204040.0
\Adele - Rolling in the Deep,0.2089795918367347,13011406640.0
\Adele - Rolling in the Deep,0.23219954648526078,15009604240.0
\Adele - Rolling in the Deep,0.25541950113378686,14809604240.0
\Adele - Rolling in the Deep,0.2786394557823129,12008205440.0
\Adele - Rolling in the Deep,0.301859410430839,12808204240.0
\Adele - Rolling in the Deep,0.3250793650793651,12609604240.0
\Adele - Rolling in the Deep,0.3482993197278912,12008204240.0
\Adele - Rolling in the Deep,0.37151927437641724,13609204240.0
\Adele - Rolling in the Deep,0.3947392290249433,12809604040.0
\Adele - Rolling in the Deep,0.4179591836734694,13409404840.0
\Adele - Rolling in the Deep,0.44117913832199546,14411804240.0
\Adele - Rolling in the Deep,0.46439909297052157,17410804240.0
\Adele - Rolling in the Deep,0.4876190476190476,15009606440.0
\Adele - Rolling in the Deep,0.5108390022675737,14809807440.0
\Adele - Rolling in the Deep,0.5340589569160998,14411804840.0
\Adele - Rolling in the Deep,0.5572789115646258,12011806040.0
\Adele - Rolling in the Deep,0.5804988662131519,15008204240.0
\Adele - Rolling in the Deep,0.603718820861678,12808604240.0
\Adele - Rolling in the Deep,0.626938775510204,14009804240.0
\Adele - Rolling in the Deep,0.6501587301587302,15611204840.0
\Adele - Rolling in the Deep,0.6733786848072563,13408004240.0
\Adele - Rolling in the Deep,0.6965986394557824,12409804640.0
\Adele - Rolling in the Deep,0.7198185941043084,12608204440.0
\Adele - Rolling in the Deep,0.7430385487528345,17610604240.0
\Adele - Rolling in the Deep,0.7662585034013606,14610204640.0
\Adele - Rolling in the Deep,0.7894784580498866,13010204240.0
\Adele - Rolling in the Deep,0.8126984126984127,14612004040.0
\Adele - Rolling in the Deep,0.8359183673469388,12212006040.0
\Adele - Rolling in the Deep,0.8591383219954649,12408004240.0
\Adele - Rolling in the Deep,0.8823582766439909,12408804240.0
\Adele - Rolling in the Deep,0.905578231292517,12008804240.0
\Adele - Rolling in the Deep,0.9287981859410431,12808204240.0
\Adele - Rolling in the Deep,0.9520181405895691,12608204040.0
\Adele - Rolling in the Deep,0.9752380952380952,15611404240.0
\Adele - Rolling in the Deep,0.9984580498866213,12408205240.0
\Adele - Rolling in the Deep,1.0216780045351475,12809204240.0
\Adele - Rolling in the Deep,1.0448979591836736,12008204240.0
\Adele - Rolling in the Deep,1.0681179138321997,14610204240.0
\Adele - Rolling in the Deep,1.0913378684807256,14609804640.0
\Adele - Rolling in the Deep,1.1145578231292517,17811604040.0
\Adele - Rolling in the Deep,1.1377777777777778,12212004240.0
